sample,AFR,AMR,EAS,EUR,SAS
HG03472,1.0000,0.0000,0.0000,0.0000,0.0000
HG03925,0.0000,0.0000,0.0922,0.0000,0.9078
HG00879,0.0000,0.0000,1.0000,0.0000,0.0000
HG02283,0.8444,0.0000,0.0000,0.1556,0.0000
NA18853,1.0000,0.0000,0.0000,0.0000,0.0000
HG02317,1.0000,0.0000,0.0000,0.0000,0.0000
HG00559,0.0000,0.0000,1.0000,0.0000,0.0000
NA18504,1.0000,0.0000,0.0000,0.0000,0.0000
HG01695,0.0458,0.0000,0.0000,0.9542,0.0000
HG01776,0.0000,0.0000,0.0000,1.0000,0.0000
NA20885,0.0000,0.0000,0.0000,0.1565,0.8435
NA19651,0.0000,0.6529,0.0000,0.3471,0.0000
HG00187,0.0000,0.0000,0.0528,0.9472,0.0000
HG03048,1.0000,0.0000,0.0000,0.0000,0.0000
NA19756,0.0000,0.9567,0.0433,0.0000,0.0000
NA20536,0.0000,0.0000,0.0000,1.0000,0.0000
NA20541,0.0000,0.0000,0.0000,1.0000,0.0000
HG03132,1.0000,0.0000,0.0000,0.0000,0.0000
HG01606,0.0000,0.0000,0.0000,1.0000,0.0000
HG00114,0.0000,0.0000,0.0000,1.0000,0.0000
HG01241,0.7066,0.2153,0.0000,0.0781,0.0000
NA18597,0.0000,0.0000,1.0000,0.0000,0.0000
HG00524,0.0000,0.0000,1.0000,0.0000,0.0000
HG02384,0.0000,0.0000,1.0000,0.0000,0.0000
NA18954,0.0000,0.0001,0.9999,0.0000,0.0000
NA18579,0.0000,0.0000,1.0000,0.0000,0.0000
NA21127,0.0000,0.0000,0.0000,0.0000,1.0000
HG04025,0.0000,0.0000,0.0000,0.0000,1.0000
HG00383,0.0000,0.0000,0.0433,0.9567,0.0000
HG01852,0.0000,0.0000,1.0000,0.0000,0.0000
NA19455,1.0000,0.0000,0.0000,0.0000,0.0000
HG01491,0.0000,0.4083,0.0000,0.5917,0.0000
HG03246,1.0000,0.0000,0.0000,0.0000,0.0000
HG01572,0.0000,0.9183,0.0817,0.0000,0.0000
HG02069,0.0000,0.0000,0.9890,0.0000,0.0110
HG00650,0.0000,0.0000,1.0000,0.0000,0.0000
HG02087,0.0000,0.0000,0.9823,0.0000,0.0177
HG02113,0.0000,0.0000,1.0000,0.0000,0.0000
HG03698,0.0000,0.0000,0.0000,0.0000,1.0000
NA19012,0.0000,0.0000,1.0000,0.0000,0.0000
HG02180,0.0000,0.0000,1.0000,0.0000,0.0000
HG03771,0.0000,0.0000,0.0000,0.0000,1.0000
NA20296,0.8206,0.0000,0.0000,0.1794,0.0000
HG03692,0.0000,0.0000,0.0000,0.0000,1.0000
HG03706,0.0000,0.0000,0.0000,0.0000,1.0000
HG01148,0.0000,0.6947,0.0000,0.3053,0.0000
NA20278,0.5165,0.0000,0.0000,0.4835,0.0000
NA19081,0.0000,0.0000,1.0000,0.0000,0.0000
HG00284,0.0000,0.0000,0.0359,0.9641,0.0000
HG00310,0.0000,0.0000,0.0196,0.9804,0.0000
HG00367,0.0000,0.0000,0.0000,1.0000,0.0000
HG02973,1.0000,0.0000,0.0000,0.0000,0.0000
HG02890,1.0000,0.0000,0.0000,0.0000,0.0000
HG01858,0.0000,0.0000,1.0000,0.0000,0.0000
HG01596,0.0000,0.0000,0.9763,0.0000,0.0237
NA19908,0.9363,0.0000,0.0000,0.0637,0.0000
HG02681,0.0000,0.0000,0.0000,0.2184,0.7816
HG02715,1.0000,0.0000,0.0000,0.0000,0.0000
HG03007,0.0000,0.0000,0.0926,0.0000,0.9074
NA19719,0.0000,1.0000,0.0000,0.0000,0.0000
HG03193,1.0000,0.0000,0.0000,0.0000,0.0000
NA19663,0.0000,0.9377,0.0623,0.0000,0.0000
NA19780,0.0000,0.8639,0.0000,0.1361,0.0000
HG02325,1.0000,0.0000,0.0000,0.0000,0.0000
NA18861,1.0000,0.0000,0.0000,0.0000,0.0000
NA18536,0.0000,0.0000,1.0000,0.0000,0.0000
NA18541,0.0000,0.0000,1.0000,0.0000,0.0000
HG01374,0.0000,0.6092,0.0000,0.3908,0.0000
HG03437,1.0000,0.0000,0.0000,0.0000,0.0000
HG01303,0.0648,0.5460,0.0000,0.3892,0.0000
HG03917,0.0000,0.0000,0.0889,0.0000,0.9111
HG03960,0.0000,0.0000,0.0000,0.0000,1.0000
NA12761,0.0000,0.0000,0.0000,1.0000,0.0000
NA12716,0.0000,0.0000,0.0000,1.0000,0.0000
HG02255,0.9782,0.0000,0.0000,0.0218,0.0000
NA18966,0.0000,0.0000,1.0000,0.0000,0.0000
HG03867,0.0000,0.0000,0.0000,0.0000,1.0000
HG01204,0.0687,0.3322,0.0000,0.5991,0.0000
HG01390,0.2392,0.6772,0.0000,0.0836,0.0000
HG02768,1.0000,0.0000,0.0000,0.0000,0.0000
HG04219,0.0000,0.0000,0.0000,0.0000,1.0000
HG00151,0.0000,0.0000,0.0000,1.0000,0.0000
HG00126,0.0000,0.0000,0.0000,1.0000,0.0000
HG02786,0.0000,0.0000,0.0000,0.0000,1.0000
NA19713,0.7834,0.0000,0.0000,0.2166,0.0000
HG03199,1.0000,0.0000,0.0000,0.0000,0.0000
NA19764,0.0000,0.9121,0.0000,0.0879,0.0000
HG03100,1.0000,0.0000,0.0000,0.0000,0.0000
NA19669,0.0000,0.7361,0.0292,0.2347,0.0000
NA20504,0.0000,0.0000,0.0000,1.0000,0.0000
NA19057,0.0000,0.0000,0.9480,0.0520,0.0000
NA19020,1.0000,0.0000,0.0000,0.0000,0.0000
HG03644,0.0000,0.0000,0.0000,0.0000,1.0000
NA18745,0.0000,0.0000,1.0000,0.0000,0.0000
NA18648,0.0000,0.0199,0.9801,0.0000,0.0000
HG02156,0.0000,0.0000,1.0000,0.0000,0.0000
HG00662,0.0000,0.0000,1.0000,0.0000,0.0000
NA19467,1.0000,0.0000,0.0000,0.0000,0.0000
HG01817,0.0000,0.0000,1.0000,0.0000,0.0000
HG01860,0.0000,0.0000,0.9996,0.0000,0.0004
HG01537,0.0000,0.0000,0.0000,1.0000,0.0000
HG00328,0.0000,0.0000,0.0224,0.9776,0.0000
HG02485,0.7717,0.0000,0.0000,0.2283,0.0000
HG04017,0.0000,0.0000,0.0000,0.0000,1.0000
HG02511,1.0000,0.0000,0.0000,0.0000,0.0000
HG04183,0.0000,0.0006,0.0959,0.0000,0.9035
HG01447,0.0000,0.6836,0.0000,0.3164,0.0000
HG01967,0.0000,0.9565,0.0435,0.0000,0.0000
NA20799,0.0000,0.0000,0.0000,1.0000,0.0000
