ethnicity,name,bam,bai
PEL,HG01947,/vol1/ftp/phase3/data/HG01947/exome_alignment/HG01947.mapped.ILLUMINA.bwa.PEL.exome.20120522.bam,/vol1/ftp/phase3/data/HG01947/exome_alignment/HG01947.mapped.ILLUMINA.bwa.PEL.exome.20120522.bam.bai
CHS,HG00651,/vol1/ftp/phase3/data/HG00651/exome_alignment/HG00651.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam,/vol1/ftp/phase3/data/HG00651/exome_alignment/HG00651.mapped.ILLUMINA.bwa.CHS.exome.20120522.bam.bai
STU,HG04029,/vol1/ftp/phase3/data/HG04029/exome_alignment/HG04029.mapped.ILLUMINA.bwa.STU.exome.20130415.bam,/vol1/ftp/phase3/data/HG04029/exome_alignment/HG04029.mapped.ILLUMINA.bwa.STU.exome.20130415.bam.bai
CHB,NA18541,/vol1/ftp/phase3/data/NA18541/exome_alignment/NA18541.mapped.ILLUMINA.bwa.CHB.exome.20121211.bam,/vol1/ftp/phase3/data/NA18541/exome_alignment/NA18541.mapped.ILLUMINA.bwa.CHB.exome.20121211.bam.bai
PUR,HG00551,/vol1/ftp/phase3/data/HG00551/exome_alignment/HG00551.mapped.ILLUMINA.bwa.PUR.exome.20120522.bam,/vol1/ftp/phase3/data/HG00551/exome_alignment/HG00551.mapped.ILLUMINA.bwa.PUR.exome.20120522.bam.bai
GIH,NA20890,/vol1/ftp/phase3/data/NA20890/exome_alignment/NA20890.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam,/vol1/ftp/phase3/data/NA20890/exome_alignment/NA20890.mapped.ILLUMINA.bwa.GIH.exome.20120522.bam.bai
ESN,HG03518,/vol1/ftp/phase3/data/HG03518/exome_alignment/HG03518.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam,/vol1/ftp/phase3/data/HG03518/exome_alignment/HG03518.mapped.ILLUMINA.bwa.ESN.exome.20130415.bam.bai
GIH,NA21116,/vol1/ftp/phase3/data/NA21116/exome_alignment/NA21116.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam,/vol1/ftp/phase3/data/NA21116/exome_alignment/NA21116.mapped.ILLUMINA.bwa.GIH.exome.20130415.bam.bai
CEU,NA12830,/vol1/ftp/phase3/data/NA12830/exome_alignment/NA12830.mapped.ILLUMINA.bwa.CEU.exome.20121211.bam,/vol1/ftp/phase3/data/NA12830/exome_alignment/NA12830.mapped.ILLUMINA.bwa.CEU.exome.20121211.bam.bai
CDX,HG02379,/vol1/ftp/phase3/data/HG02379/exome_alignment/HG02379.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam,/vol1/ftp/phase3/data/HG02379/exome_alignment/HG02379.mapped.ILLUMINA.bwa.CDX.exome.20120522.bam.bai
ACB,HG01894,/vol1/ftp/phase3/data/HG01894/exome_alignment/HG01894.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam,/vol1/ftp/phase3/data/HG01894/exome_alignment/HG01894.mapped.ILLUMINA.bwa.ACB.exome.20130415.bam.bai
GBR,HG00100,/vol1/ftp/phase3/data/HG00100/exome_alignment/HG00100.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam,/vol1/ftp/phase3/data/HG00100/exome_alignment/HG00100.mapped.ILLUMINA.bwa.GBR.exome.20121211.bam.bai
